accuracy,loss,val_accuracy,val_loss
0.546875,0.9938955307006836,0.699999988079071,0.7635735273361206
0.6640625,0.7478315830230713,0.75,0.6522554159164429
0.7281249761581421,0.6360684037208557,0.75,0.5920713543891907
0.784375011920929,0.540030300617218,0.7875000238418579,0.5215191841125488
0.78125,0.5059658288955688,0.800000011920929,0.5113263726234436
0.78125,0.4722771644592285,0.7875000238418579,0.5028550624847412
0.8359375,0.44342559576034546,0.8187500238418579,0.4379286766052246
0.8421875238418579,0.3892289400100708,0.831250011920929,0.43061527609825134
0.8421875238418579,0.3899218738079071,0.8500000238418579,0.3962205946445465
0.840624988079071,0.3736740052700043,0.8687499761581421,0.38627567887306213
0.859375,0.358715295791626,0.8374999761581421,0.4327939450740814
0.8656250238418579,0.3511466085910797,0.831250011920929,0.43147796392440796
0.8921874761581421,0.29907119274139404,0.831250011920929,0.4198588728904724
0.8921874761581421,0.2895275056362152,0.8374999761581421,0.38422951102256775
0.90625,0.28740066289901733,0.84375,0.3876323699951172
0.901562511920929,0.2586362659931183,0.84375,0.398179292678833
0.895312488079071,0.26581883430480957,0.831250011920929,0.4212997853755951
0.895312488079071,0.2586667835712433,0.8374999761581421,0.41759127378463745
0.903124988079071,0.2359400987625122,0.84375,0.39512842893600464
0.9078124761581421,0.2502499222755432,0.831250011920929,0.38014715909957886
0.917187511920929,0.217244952917099,0.856249988079071,0.4117395877838135
0.9125000238418579,0.226218581199646,0.8500000238418579,0.3884761929512024
0.9125000238418579,0.2214474380016327,0.8687499761581421,0.38232138752937317
0.909375011920929,0.23884443938732147,0.84375,0.4089910387992859
0.910937488079071,0.21902187168598175,0.831250011920929,0.4163040220737457
0.925000011920929,0.1877807080745697,0.8687499761581421,0.3483063578605652
0.921875,0.19456049799919128,0.862500011920929,0.3834601938724518
0.926562488079071,0.1858571320772171,0.856249988079071,0.34801334142684937
0.932812511920929,0.1769053339958191,0.856249988079071,0.354983925819397
0.9359375238418579,0.16672933101654053,0.8500000238418579,0.3967186212539673
